_id,id,updated_by,serialnumber,swapcost,observedsoc,setchargingstatus,previous_system,connectedsystem,userid,consumer_swapmetadata.odometer_reading,consumer_swapmetadata.mileage,swapstatus,created_at,blockchain.blockchain_referance_id,blockchain.pda_address,blockchain.blockchain_tx_hash,blockchain.blockchain_tx_status,blockchain.blockchain_sync_at,blockchain.blockchain_error,blockchain.on_chain_metadata,energySessionId,paidamount,requestedamount,updated_at
69f1aea567123cf89c04a393,69f1aea567123cf89c04a392,69299973a72639f0820f6fc2,test-battery-1,0,0,2,Franchise-1,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T07:09:25.064Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1aeb767123cf89c04a395,69f1aeb767123cf89c04a394,69299973a72639f0820f6fc2,test-battery-2,0,0,2,Franchise-1,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T07:09:43.360Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1affb67123cf89c04a398,69f1affb67123cf89c04a397,69f1a2cc67123cf89c04a377,test-battery-14,0,0,2,site-1,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T07:15:07.202Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1affb67123cf89c04a39a,69f1affb67123cf89c04a399,69f1a2cc67123cf89c04a377,test-battery-2,0,0,2,site-1,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T07:15:07.518Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b01b67123cf89c04a39e,69f1b01b67123cf89c04a39d,69299973a72639f0820f6fc2,test-battery-41,0,0,1,Franchise-1,user-1-p,69f1a03667123cf89c04a367,0,0,true,2026-04-29T07:15:39.780Z,,,,false,0001-01-01T00:00:00.000Z,,,69f1b01b67123cf89c04a39b,,,
69f1b03067123cf89c04a3a2,69f1b03067123cf89c04a3a1,69299973a72639f0820f6fc2,test-battery-42,0,0,1,Franchise-1,user-2-p,69f1a06367123cf89c04a369,0,0,true,2026-04-29T07:16:00.835Z,,,,false,0001-01-01T00:00:00.000Z,,,69f1b03067123cf89c04a39f,,,
69f1b05267123cf89c04a3aa,69f1b05267123cf89c04a3a9,69f1a2cc67123cf89c04a377,test-battery-41,0,0,2,user-1-p,user-7-partner,69f1a2cc67123cf89c04a377,0,0,true,2026-04-29T07:16:34.654Z,,,,false,0001-01-01T00:00:00.000Z,,,69f1b01b67123cf89c04a39b,,,
69f1b05267123cf89c04a3ae,69f1b05267123cf89c04a3ad,69f1a2cc67123cf89c04a377,test-battery-2,0,0,1,user-7-partner,user-1-p,69f1a03667123cf89c04a367,0,0,true,2026-04-29T07:16:34.928Z,,,,false,0001-01-01T00:00:00.000Z,,,69f1b05267123cf89c04a3ab,,,
69f1b09a67123cf89c04a3b0,69f1b09a67123cf89c04a3af,69299973a72639f0820f6fc2,test-battery-43,0,0,0,Franchise-1,user-5-c,69f1a1e667123cf89c04a371,0,0,true,2026-04-29T07:17:46.641Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b0be67123cf89c04a3b2,69f1b0be67123cf89c04a3b1,69299973a72639f0820f6fc2,test-battery-44,0,0,0,Franchise-1,user-4-c,69f1a1be67123cf89c04a36f,0,0,true,2026-04-29T07:18:22.327Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b10c67123cf89c04a3b4,69f1b10c67123cf89c04a3b3,69299973a72639f0820f6fc2,test-battery-45,0,0,2,Franchise-1,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T07:19:40.668Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
69f1b12567123cf89c04a3b6,69f1b12567123cf89c04a3b5,69299973a72639f0820f6fc2,test-battery-46,0,0,2,Franchise-1,site-1,69f1a24167123cf89c04a373,0,0,true,2026-04-29T07:20:05.632Z,,,,false,0001-01-01T00:00:00.000Z,,,,,,
